# model=Dmr seed=706 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,0,16,3038
100,16,0,16,2398
150,16,0,16,2271
200,16,0,16,2182
250,16,0,16,2186
300,16,0,16,2143
350,16,0,16,2077
400,16,0,16,2042
450,16,0,16,2307
500,16,0,16,2302
550,16,0,16,2202
600,16,0,16,2062
650,16,0,16,2293
700,16,0,16,2050
750,16,0,16,1963
800,16,0,16,1903
850,16,0,16,1921
900,16,0,16,1876
950,16,0,16,2848
1000,16,0,16,2716
1050,16,0,16,3384
1100,16,0,16,3607
1150,16,0,16,13100
1200,16,0,16,21268
1250,16,0,16,25926
1300,16,0,16,26042
1350,16,0,16,178430
1400,16,0,16,319061
1450,12,0,16,574838
1500,9,0,16,930126
1550,1,0,16,1049297
1600,1,0,16,1082452
