# model=FullDmr seed=701 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,0,16,2890
100,16,0,16,2247
150,16,0,16,2239
200,16,0,16,2256
250,16,0,16,2191
300,16,0,16,2156
350,16,0,16,2090
400,16,0,16,2098
450,16,0,16,2082
500,16,0,16,2012
550,16,0,16,2190
600,16,0,16,2077
650,16,0,16,2374
700,16,0,16,2381
750,16,0,16,2334
800,16,0,16,2298
850,16,0,16,2272
900,16,0,16,2238
950,16,0,16,2225
1000,16,0,16,2183
1050,16,0,16,2230
1100,16,0,16,2207
1150,16,0,16,2123
1200,16,0,16,2186
1250,16,0,16,2169
1300,16,0,16,2141
1350,16,0,16,2165
1400,16,0,16,2158
1450,16,0,16,2112
1500,16,0,16,2025
1550,16,0,16,2060
1600,16,0,16,1957
1650,16,0,16,1900
1700,16,0,16,2046
1750,16,0,16,2169
1800,16,0,16,2233
1850,16,0,16,2232
1900,16,0,16,2281
1950,16,0,16,2256
2000,16,0,16,2374
2050,16,0,16,2519
2100,16,0,16,2271
2150,16,0,16,2149
2200,16,0,16,2184
2250,16,0,16,2145
2300,16,0,16,2102
2350,16,0,16,2131
2400,16,0,16,2157
2450,16,0,16,2547
2500,16,0,16,2447
2550,16,0,16,2415
2600,16,0,16,2355
2650,16,0,16,2360
2700,16,0,16,2362
2750,16,0,16,2459
2800,16,0,16,2431
2850,16,0,16,2396
2900,16,0,16,2302
2950,16,0,16,2251
3000,16,0,16,2263
3050,16,0,16,2227
3100,16,0,16,2220
3150,16,0,16,2156
3200,16,0,16,2111
3250,16,0,16,2133
3300,16,0,16,2118
3350,16,0,16,2131
3400,16,0,16,2080
3450,16,0,16,1988
3500,16,0,16,2000
3550,16,0,16,1982
3600,16,0,16,2939
3650,16,0,16,2356
3700,16,0,16,2296
3750,16,0,16,2227
3800,16,0,16,2171
3850,16,0,16,2259
3900,16,0,16,2254
3950,16,0,16,2447
4000,16,0,16,2446
4050,16,0,16,2343
4100,16,0,16,2317
4150,16,0,16,2282
4200,16,0,16,2389
4250,16,0,16,2266
4300,16,0,16,2343
4350,16,0,16,2166
4400,16,0,16,2074
4450,16,0,16,2094
4500,16,0,16,1964
4550,16,0,16,2013
4600,16,0,16,1964
4650,16,0,16,2022
4700,16,0,16,2114
4750,16,0,16,2119
4800,16,0,16,2122
4850,16,0,16,2257
4900,16,0,16,2234
4950,16,0,16,2367
5000,16,0,16,2331
5050,16,0,16,2334
5100,16,0,16,2363
5150,16,0,16,2335
5200,16,0,16,2230
5250,16,0,16,2205
5300,16,0,16,2098
5350,16,0,16,2122
5400,16,0,16,2131
5450,16,0,16,2278
5500,16,0,16,2253
5550,16,0,16,2303
5600,16,0,16,2610
5650,16,0,16,2902
5700,16,0,16,2534
5750,16,0,16,2979
5800,16,0,16,2924
5850,16,0,16,2794
5900,16,0,16,2815
5950,16,0,16,2838
6000,16,0,16,4213
6050,16,0,16,2390
6100,16,0,16,2383
6150,16,0,16,2263
6200,16,0,16,2238
6250,16,0,16,2187
6300,16,0,16,2149
6350,16,0,16,2129
6400,16,0,16,2401
6450,16,0,16,2362
6500,16,0,16,2419
6550,16,0,16,2326
6600,16,0,16,2334
6650,16,0,16,2173
6700,16,0,16,2179
6750,16,0,16,2144
6800,16,0,16,2071
6850,16,0,16,2275
6900,16,0,16,2329
6950,16,0,16,2283
7000,16,0,16,2234
7050,16,0,16,3308
7100,16,0,16,3302
7150,16,0,16,3302
7200,16,0,16,4082
7250,16,0,16,2296
7300,16,0,16,2281
7350,16,0,16,2226
7400,16,0,16,2293
7450,16,0,16,2255
7500,16,0,16,2229
7550,16,0,16,2206
7600,16,0,16,2251
7650,16,0,16,2133
7700,16,0,16,2235
7750,16,0,16,2604
7800,16,0,16,3469
7850,16,0,16,2404
7900,16,0,16,2396
7950,16,0,16,2332
8000,16,0,16,2663
8050,16,0,16,2665
8100,16,0,16,2531
8150,16,0,16,2477
8200,16,0,16,2455
8250,16,0,16,2513
8300,16,0,16,2467
8350,16,0,16,2471
8400,16,0,16,2462
8450,16,0,16,2372
8500,16,0,16,2307
8550,16,0,16,2285
8600,16,0,16,2405
8650,16,0,16,2282
8700,16,0,16,3099
8750,16,0,16,3672
8800,16,0,16,3569
8850,16,0,16,6241
8900,16,0,16,6143
8950,16,0,16,10103
9000,16,0,16,14173
9050,16,0,16,2391
9100,16,0,16,2496
9150,16,0,16,2381
9200,16,0,16,2202
9250,16,0,16,2190
9300,16,0,16,2359
9350,16,0,16,2638
9400,16,0,16,2616
9450,16,0,16,4957
9500,16,0,16,4905
9550,16,0,16,5266
9600,16,0,16,8089
9650,16,0,16,2261
9700,16,0,16,2316
9750,16,0,16,2251
9800,16,0,16,2242
9850,16,0,16,2189
9900,16,0,16,2146
9950,16,0,16,2118
10000,16,0,16,2076
10050,16,0,16,2060
10100,16,0,16,2062
10150,16,0,16,2030
10200,16,0,16,2087
10250,16,0,16,2309
10300,16,0,16,2214
10350,16,0,16,2298
10400,16,0,16,2220
10450,16,0,16,2186
10500,16,0,16,2151
10550,16,0,16,2082
10600,16,0,16,2031
10650,16,0,16,1983
10700,16,0,16,1987
10750,16,0,16,2517
10800,16,0,16,2535
10850,16,0,16,2224
10900,16,0,16,2213
10950,16,0,16,2260
11000,16,0,16,2150
11050,16,0,16,2120
11100,16,0,16,2088
11150,16,0,16,2078
11200,16,0,16,2015
11250,16,0,16,1978
11300,16,0,16,1966
11350,16,0,16,1945
11400,16,0,16,1942
11450,16,0,16,2226
11500,16,0,16,2360
11550,16,0,16,2227
11600,16,0,16,2178
11650,16,0,16,2304
11700,16,0,16,2422
11750,16,0,16,2422
11800,16,0,16,2431
11850,16,0,16,2390
11900,16,0,16,2352
11950,16,0,16,2814
12000,16,0,16,2778
12050,16,0,16,2123
12100,16,0,16,2194
12150,16,0,16,2260
12200,16,0,16,2172
12250,16,0,16,2258
12300,16,0,16,2203
12350,16,0,16,2351
12400,16,0,16,2330
12450,16,0,16,2247
12500,16,0,16,2244
12550,16,0,16,2136
12600,16,0,16,2308
12650,16,0,16,2275
12700,16,0,16,2259
12750,16,0,16,2202
12800,16,0,16,2290
12850,16,0,16,2199
12900,16,0,16,2110
12950,16,0,16,2120
13000,16,0,16,2308
13050,16,0,16,2073
13100,16,0,16,1976
13150,16,0,16,1967
13200,16,0,16,2079
13250,16,0,16,2272
13300,16,0,16,2331
13350,16,0,16,2206
13400,16,0,16,2238
13450,16,0,16,2345
13500,16,0,16,2113
13550,16,0,16,2330
13600,16,0,16,2408
13650,16,0,16,2395
13700,16,0,16,2310
13750,16,0,16,2286
13800,16,0,16,2371
13850,16,0,16,2323
13900,16,0,16,2250
13950,16,0,16,2302
14000,16,0,16,2248
14050,16,0,16,2225
14100,16,0,16,2254
14150,16,0,16,2190
14200,16,0,16,2154
14250,16,0,16,2351
14300,16,0,16,2349
14350,16,0,16,2317
14400,16,0,16,4271
14450,16,0,16,2105
14500,16,0,16,2079
14550,16,0,16,2122
14600,16,0,16,2282
14650,16,0,16,2269
14700,16,0,16,2170
14750,16,0,16,2172
14800,16,0,16,2177
14850,16,0,16,2112
14900,16,0,16,9053
14950,16,0,16,4456
15000,16,0,16,4837
15050,16,0,16,2275
15100,16,0,16,2233
15150,16,0,16,2421
15200,16,0,16,2448
15250,16,0,16,2377
15300,16,0,16,2270
15350,16,0,16,2249
15400,16,0,16,2240
15450,16,0,16,2227
15500,16,0,16,2100
15550,16,0,16,2060
15600,16,0,16,2151
15650,16,0,16,2262
15700,16,0,16,2116
15750,16,0,16,2157
15800,16,0,16,2165
15850,16,0,16,2446
15900,16,0,16,2481
15950,16,0,16,2365
16000,16,0,16,2455
16050,16,0,16,2259
16100,16,0,16,2279
16150,16,0,16,2479
16200,16,0,16,2725
16250,16,0,16,2402
16300,16,0,16,2323
16350,16,0,16,2383
16400,16,0,16,2434
16450,16,0,16,2467
16500,16,0,16,2409
16550,16,0,16,2367
16600,16,0,16,2265
16650,16,0,16,2246
16700,16,0,16,2259
16750,16,0,16,2236
16800,16,0,16,2309
16850,16,0,16,2233
16900,16,0,16,2129
16950,16,0,16,2137
17000,16,0,16,2356
17050,16,0,16,2265
17100,16,0,16,2222
17150,16,0,16,2259
17200,16,0,16,2159
17250,16,0,16,2265
17300,16,0,16,2154
17350,16,0,16,2162
17400,16,0,16,2242
17450,16,0,16,2110
17500,16,0,16,2094
17550,16,0,16,2080
17600,16,0,16,2143
17650,16,0,16,2100
17700,16,0,16,2117
17750,16,0,16,2156
17800,16,0,16,2024
17850,16,0,16,2040
17900,16,0,16,1946
17950,16,0,16,1814
18000,16,0,16,1847
18050,16,0,16,2109
18100,16,0,16,2192
18150,16,0,16,2149
18200,16,0,16,2186
18250,16,0,16,2359
18300,16,0,16,2317
18350,16,0,16,2225
18400,16,0,16,2048
18450,16,0,16,2021
18500,16,0,16,2048
18550,16,0,16,2016
18600,16,0,16,2040
18650,16,0,16,2174
18700,16,0,16,2332
18750,16,0,16,2286
18800,16,0,16,2401
18850,16,0,16,2618
18900,16,0,16,2624
18950,16,0,16,2616
19000,16,0,16,2422
19050,16,0,16,2575
19100,16,0,16,2617
19150,16,0,16,2597
19200,16,0,16,2588
19250,16,0,16,2072
19300,16,0,16,2431
19350,16,0,16,2215
19400,16,0,16,2193
19450,16,0,16,2086
19500,16,0,16,2076
19550,16,0,16,2140
