# model=Naive seed=706 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,4,16,0
100,16,8,16,0
150,16,13,16,0
200,16,16,16,0
250,16,18,16,0
300,15,22,16,0
350,14,24,16,0
400,13,25,16,0
450,13,25,16,0
500,13,26,16,0
550,13,27,16,0
600,13,28,16,0
650,13,29,16,0
700,13,30,16,0
750,12,33,16,0
800,12,35,16,0
850,11,36,16,0
900,11,36,16,0
950,10,37,16,0
1000,10,37,16,0
1050,10,38,16,0
1100,7,41,16,0
1150,7,41,16,0
1200,5,43,16,0
1250,5,43,16,0
1300,5,43,16,0
1350,5,43,16,0
1400,4,44,16,0
1450,3,45,16,0
1500,2,46,16,0
1550,2,46,16,0
1600,2,46,16,0
1650,2,46,16,0
1700,2,46,16,0
1750,2,46,16,0
1800,2,46,16,0
1850,2,46,16,0
1900,2,46,16,0
1950,2,46,16,0
2000,1,47,16,0
2050,1,47,16,0
2100,1,47,16,0
2150,1,47,16,0
2200,1,47,16,0
2250,1,47,16,0
2300,1,47,16,0
2350,1,47,16,0
2400,0,48,16,0
# ended at tick 2400: recovery fell below 5 %; run took 572 ms
